check,symbol,feature,metric,value,status,note
ADF,BTCUSDT,btc_funding_rate_8h_impulse,p_value,0.0,PASS,informational — no BLOCK
ADF,BTCUSDT,btc_funding_spread_30_90,p_value,5.0240148081460105e-24,PASS,informational — no BLOCK
IC_pearson,BTCUSDT,btc_funding_rate_8h_impulse vs cal_dow_norm,ic_abs,1.2546152616317856e-05,PASS,informational — no BLOCK
IC_pearson,BTCUSDT,btc_funding_rate_8h_impulse vs cal_hour_norm,ic_abs,0.052539480325184046,PASS,informational — no BLOCK
IC_pearson,BTCUSDT,btc_funding_rate_8h_impulse vs dot_vs_btc_ret_ratio_30,ic_abs,,SKIP,informational — no BLOCK
IC_pearson,BTCUSDT,btc_funding_rate_8h_impulse vs funding_rate_zscore_30,ic_abs,0.5067295814482905,MODERATE_IC (informational) abs=0.5067,informational — no BLOCK
IC_pearson,BTCUSDT,btc_funding_rate_8h_impulse vs funding_rate_zscore_90,ic_abs,0.4911121743133389,MODERATE_IC (informational) abs=0.4911,informational — no BLOCK
IC_pearson,BTCUSDT,btc_funding_rate_8h_impulse vs interact_natr_x_adx,ic_abs,0.010126769620587978,PASS,informational — no BLOCK
IC_pearson,BTCUSDT,btc_funding_rate_8h_impulse vs interact_ret1_x_natr,ic_abs,0.015508941570638505,PASS,informational — no BLOCK
IC_pearson,BTCUSDT,btc_funding_rate_8h_impulse vs interact_ret1_x_ret3,ic_abs,0.003285394518598192,PASS,informational — no BLOCK
IC_pearson,BTCUSDT,btc_funding_rate_8h_impulse vs interact_rsi_x_adx,ic_abs,0.05451431588188901,PASS,informational — no BLOCK
IC_pearson,BTCUSDT,btc_funding_rate_8h_impulse vs interact_rsi_x_natr,ic_abs,0.06371824991738531,PASS,informational — no BLOCK
IC_pearson,BTCUSDT,btc_funding_rate_8h_impulse vs interact_stoch_x_adx,ic_abs,0.05982730462537833,PASS,informational — no BLOCK
IC_pearson,BTCUSDT,btc_funding_rate_8h_impulse vs long_short_zscore_30,ic_abs,0.07544567297211184,PASS,informational — no BLOCK
IC_pearson,BTCUSDT,btc_funding_rate_8h_impulse vs mom_macd_hist_12_26_9,ic_abs,0.05379833619347957,PASS,informational — no BLOCK
IC_pearson,BTCUSDT,btc_funding_rate_8h_impulse vs mom_macd_line_12_26_9,ic_abs,0.021289528147877913,PASS,informational — no BLOCK
IC_pearson,BTCUSDT,btc_funding_rate_8h_impulse vs mom_roc_10,ic_abs,0.06490848760750757,PASS,informational — no BLOCK
IC_pearson,BTCUSDT,btc_funding_rate_8h_impulse vs mom_rsi_14,ic_abs,0.06419697071562619,PASS,informational — no BLOCK
IC_pearson,BTCUSDT,btc_funding_rate_8h_impulse vs mom_stoch_d_14,ic_abs,0.03745564185405206,PASS,informational — no BLOCK
IC_pearson,BTCUSDT,btc_funding_rate_8h_impulse vs mom_stoch_k_14,ic_abs,0.06102289192331237,PASS,informational — no BLOCK
IC_pearson,BTCUSDT,btc_funding_rate_8h_impulse vs mom_willr_14,ic_abs,0.059827646865896485,PASS,informational — no BLOCK
IC_pearson,BTCUSDT,btc_funding_rate_8h_impulse vs mr_pct_from_high_20,ic_abs,0.05071141701058469,PASS,informational — no BLOCK
IC_pearson,BTCUSDT,btc_funding_rate_8h_impulse vs mr_pct_from_low_20,ic_abs,0.03692185483685155,PASS,informational — no BLOCK
IC_pearson,BTCUSDT,btc_funding_rate_8h_impulse vs mr_rsi_extreme_14,ic_abs,0.05406644884265146,PASS,informational — no BLOCK
IC_pearson,BTCUSDT,btc_funding_rate_8h_impulse vs oi_delta_30_z90,ic_abs,0.011496090125218917,PASS,informational — no BLOCK
IC_pearson,BTCUSDT,btc_funding_rate_8h_impulse vs regime_momentum_signed_5d,ic_abs,0.04867704755238246,PASS,informational — no BLOCK
IC_pearson,BTCUSDT,btc_funding_rate_8h_impulse vs stat_autocorr_lag5,ic_abs,0.0015877312349824404,PASS,informational — no BLOCK
IC_pearson,BTCUSDT,btc_funding_rate_8h_impulse vs stat_kurtosis_20,ic_abs,0.006301554762048921,PASS,informational — no BLOCK
IC_pearson,BTCUSDT,btc_funding_rate_8h_impulse vs stat_log_return_1,ic_abs,0.00098480594079923,PASS,informational — no BLOCK
IC_pearson,BTCUSDT,btc_funding_rate_8h_impulse vs stat_return_5,ic_abs,0.09523093123732208,PASS,informational — no BLOCK
IC_pearson,BTCUSDT,btc_funding_rate_8h_impulse vs stat_skew_20,ic_abs,0.033914283113633245,PASS,informational — no BLOCK
IC_pearson,BTCUSDT,btc_funding_rate_8h_impulse vs trend_adx_14,ic_abs,0.004419779422186115,PASS,informational — no BLOCK
IC_pearson,BTCUSDT,btc_funding_rate_8h_impulse vs trend_aroon_osc_14,ic_abs,0.04100961871665582,PASS,informational — no BLOCK
