label,observed_sharpe,n_trials,n_obs,buggy_dsr_clamps_neg_to_0,corrected_dsr_n_eff_1,corrected_dsr_n_eff_eq_n_trials
iter_v3_001_neg_IS,-0.0746,10,39,0.0,0.00012671653133499502,1.6194465710282389e-24
iter_v3_001_neg_IS,-0.0746,50,39,0.0,0.00012671653133499502,9.128894922248949e-48
iter_v3_001_neg_IS,-0.0746,1000,39,0.0,0.00012671653133499502,1.1382471053969662e-93
near_zero,0.05,10,39,2.7737690525528517e-21,0.0019020936210249865,2.93278898646637e-21
near_zero,0.05,50,39,3.653773381602485e-43,0.0019020936210249865,4.112152952013269e-43
near_zero,0.05,1000,39,3.4438896776535145e-87,0.0019020936210249865,4.396890122207491e-87
modest_pos,0.5,10,39,1.7448560020930478e-11,0.4542957215364585,2.113306896120392e-10
modest_pos,0.5,50,39,3.327238291944751e-28,0.4542957215364585,2.7548657229284824e-25
modest_pos,0.5,1000,39,5.4205865861982886e-65,0.4542957215364585,5.235037112782924e-58
strong_pos,1.5,10,39,0.32281021804648075,0.9999830250747064,0.37620704380767983
strong_pos,1.5,50,39,8.530077323268571e-07,0.9999830250747064,0.0005139184937668418
strong_pos,1.5,1000,39,1.394563050046215e-27,0.9999830250747064,5.769304800519041e-14
