symbol,threshold_wpnl,n_brake_fires,n_braked_trades,n_braked_pct,wpnl_orig,wpnl_modified,wpnl_delta,sharpe_proxy_orig,sharpe_proxy_modified,max_dd_observed_wpnl
BCHUSDT,5,38,29,30.9,34.85,22.87,-11.98,0.096,0.071,29.15
BCHUSDT,10,27,21,22.3,34.85,24.67,-10.18,0.096,0.075,29.15
BCHUSDT,15,17,13,13.8,34.85,30.27,-4.58,0.096,0.087,29.15
BCHUSDT,20,9,9,9.6,34.85,25.79,-9.06,0.096,0.073,29.15
LDOUSDT,5,6,5,27.8,43.9,30.51,-13.39,0.346,0.29,12.71
LDOUSDT,10,1,1,5.6,43.9,40.36,-3.53,0.346,0.322,12.71
LDOUSDT,15,0,0,0.0,43.9,43.9,0.0,0.346,0.346,12.71
LDOUSDT,20,0,0,0.0,43.9,43.9,0.0,0.346,0.346,12.71
TRXUSDT,5,33,35,41.2,-5.82,-4.81,1.01,-0.03,-0.028,28.0
TRXUSDT,10,27,31,36.5,-5.82,-3.4,2.42,-0.03,-0.019,28.0
TRXUSDT,15,18,24,28.2,-5.82,-5.69,0.13,-0.03,-0.031,28.0
TRXUSDT,20,11,13,15.3,-5.82,-8.11,-2.29,-0.03,-0.043,28.0
ALGOUSDT,5,24,10,18.9,2.47,6.77,4.31,0.007,0.021,64.7
ALGOUSDT,10,14,6,11.3,2.47,1.91,-0.56,0.007,0.006,64.7
ALGOUSDT,15,10,5,9.4,2.47,-0.23,-2.7,0.007,-0.001,64.7
ALGOUSDT,20,7,3,5.7,2.47,8.94,6.47,0.007,0.026,64.7
