metric,value,source
monthly_sharpe_in_sample,1.0894,reports-v3/iteration_v3-059/comparison.csv:2
monthly_sharpe_out_of_sample,0.5791,reports-v3/iteration_v3-059/comparison.csv:2
monthly_sharpe_ratio_oos_is,0.5316,reports-v3/iteration_v3-059/comparison.csv:2
daily_sharpe_in_sample,2.7092,reports-v3/iteration_v3-059/comparison.csv:3
daily_sharpe_out_of_sample,1.4359,reports-v3/iteration_v3-059/comparison.csv:3
max_drawdown_in_sample,30.9678,reports-v3/iteration_v3-059/comparison.csv:4
max_drawdown_out_of_sample,34.528,reports-v3/iteration_v3-059/comparison.csv:4
profit_factor_in_sample,1.4949,reports-v3/iteration_v3-059/comparison.csv:5
profit_factor_out_of_sample,1.2107,reports-v3/iteration_v3-059/comparison.csv:5
win_rate_in_sample,33.3333,reports-v3/iteration_v3-059/comparison.csv:6
win_rate_out_of_sample,38.2979,reports-v3/iteration_v3-059/comparison.csv:6
n_trades_in_sample,171.0,reports-v3/iteration_v3-059/comparison.csv:7
n_trades_out_of_sample,94.0,reports-v3/iteration_v3-059/comparison.csv:7
total_pnl_in_sample,78.1805,reports-v3/iteration_v3-059/comparison.csv:8
total_pnl_out_of_sample,22.7359,reports-v3/iteration_v3-059/comparison.csv:8
monthly_calmar_in_sample,2.5246,reports-v3/iteration_v3-059/comparison.csv:9
monthly_calmar_out_of_sample,0.6585,reports-v3/iteration_v3-059/comparison.csv:9
dsr_legacy,0.0,reports-v3/iteration_v3-059/comparison.csv:11
pbo_mean,0.1278,reports-v3/iteration_v3-059/comparison.csv:12
psr,1.0,reports-v3/iteration_v3-059/comparison.csv:13
n_trials_total,1050.0,reports-v3/iteration_v3-059/comparison.csv:14
n_effective_trials,19.0,reports-v3/iteration_v3-059/comparison.csv:15
dsr_relative_legacy,0.113363,reports-v3/iteration_v3-059/dsr.json
cpcv_path_sharpe_q75,0.837759,reports-v3/iteration_v3-059/dsr.json
pbo_frac_positive_paths,0.6444,reports-v3/iteration_v3-059/dsr.json
min_trl_months,5.7,reports-v3/iteration_v3-059/dsr.json
BCH_OOS_weighted_pnl,24.7502,reports-v3/iteration_v3-059/comparison.csv:18
LDO_OOS_weighted_pnl,-6.1783,reports-v3/iteration_v3-059/comparison.csv:19
TRX_OOS_weighted_pnl,4.1639,reports-v3/iteration_v3-059/comparison.csv:20
BCH_OOS_n_trades,34.0,reports-v3/iteration_v3-059/comparison.csv:18
LDO_OOS_n_trades,12.0,reports-v3/iteration_v3-059/comparison.csv:19
TRX_OOS_n_trades,48.0,reports-v3/iteration_v3-059/comparison.csv:20
BCH_OOS_win_rate,41.2,reports-v3/iteration_v3-059/comparison.csv:18
LDO_OOS_win_rate,25.0,reports-v3/iteration_v3-059/comparison.csv:19
TRX_OOS_win_rate,39.6,reports-v3/iteration_v3-059/comparison.csv:20
BCH_OOS_concentration_pct,108.86,reports-v3/iteration_v3-059/comparison.csv:18
LDO_OOS_concentration_pct,-27.17,reports-v3/iteration_v3-059/comparison.csv:19
TRX_OOS_concentration_pct,18.31,reports-v3/iteration_v3-059/comparison.csv:20
BCH_IS_n_trades,83.0,reports-v3/iteration_v3-059/in_sample/per_symbol.csv
LDO_IS_n_trades,9.0,reports-v3/iteration_v3-059/in_sample/per_symbol.csv
TRX_IS_n_trades,79.0,reports-v3/iteration_v3-059/in_sample/per_symbol.csv
BCH_IS_win_rate,49.4,reports-v3/iteration_v3-059/in_sample/per_symbol.csv
LDO_IS_win_rate,33.3,reports-v3/iteration_v3-059/in_sample/per_symbol.csv
TRX_IS_win_rate,34.2,reports-v3/iteration_v3-059/in_sample/per_symbol.csv
BCH_IS_pct_of_total_pnl,95.76,reports-v3/iteration_v3-059/in_sample/per_symbol.csv
LDO_IS_pct_of_total_pnl,0.78,reports-v3/iteration_v3-059/in_sample/per_symbol.csv
TRX_IS_pct_of_total_pnl,3.47,reports-v3/iteration_v3-059/in_sample/per_symbol.csv
ENSEMBLE_SIZE,10.0,BASELINE_V3.md (Phase B-3 architecture)
V3_FEATURE_COLUMNS_TOP_N,14.0,src/crypto_trade/features_v3/__init__.py:222
V3_MODELS_count,3.0,run_baseline_v3.py:V3_MODELS
REQUIRED_GAP,66.0,validation_v3.py:REQUIRED_GAP — (21+1)*3 for 3-sym
DEFAULT_ATR_MULTIPLIERS_tp,2.0,src/crypto_trade/features_v3/__init__.py:222
DEFAULT_ATR_MULTIPLIERS_sl,1.0,src/crypto_trade/features_v3/__init__.py:222 — /059 anchor
label_timeout_minutes,10080.0,run_baseline_v3.py:1425 (UNCHANGED at /065+ revert)
