# regime_specialist_roster.csv
# Running roster of (symbol, config, IS regime profile) for the per-symbol regime-specialist mandate.
# CONFIRMATION bundle assembles specialists from this roster.
#
# Column definitions:
#   iter_id                  — source iteration identifier (e.g. baseline, v1-049)
#   symbol                   — trading pair (BTCUSDT etc.) or POOLED for multi-symbol rows
#   config_id                — model identifier within the iteration (e.g. model-A-pool, model-C-LINK)
#   feature_stack_size       — number of features passed to LightGBM (V1_FEATURE_COLUMNS count)
#   new_feature_or_risk      — axis change vs baseline (NONE for baseline anchor rows)
#   is_sharpe_annualized     — per-symbol IS annualized Sharpe (QR-authoritative; see notes per row)
#   is_n_trades              — per-symbol IS closed-trade count (from in_sample/per_symbol.csv or per_regime)
#   is_max_dd_pct            — per-symbol IS max peak-to-trough drawdown % (from in_sample/trades.csv cumulative PnL)
#   is_bull_sharpe           — IS portfolio Sharpe in bull regime (from regime_catalog.md §4 / baseline_seed_regime_matrix.csv)
#   is_bear_sharpe           — IS portfolio Sharpe in bear regime
#   is_chop_sharpe           — IS portfolio Sharpe in chop regime
#   is_vol_spike_sharpe      — IS portfolio Sharpe in vol-spike regime
#   is_recovery_sharpe       — IS portfolio Sharpe in recovery regime (NaN = 0 IS months)
#   is_other_sharpe          — IS portfolio Sharpe in other regime (NaN = 0 IS months)
#   oos_sharpe_informational — per-symbol OOS trade-level annualized Sharpe (sqrt(252)*mean/std; informational only)
#   oos_n_trades_informational — per-symbol OOS closed-trade count (from out_of_sample/per_symbol.csv)
#   verdict_band             — per regime_ensemble_methodology.md: UNIVERSAL/REGIME-SPECIALIST-IS/REGIME-SPECIALIST-OOS/TAIL-CONTROL/TRUE-NEG
#   regime_specialist_role   — target regime for bundle composition (ANCHOR/BEAR-SPECIALIST/BULL-SPECIALIST/VOL-SPIKE-SPECIALIST/CHOP-SPECIALIST/POOLED/N/A)
#   notes                    — free-form context
#
# Per-regime Sharpe columns for BASELINE rows use the PORTFOLIO-LEVEL regime breakdown from
# regime_catalog.md §4 (single-seed=42, bootstrap proxy). Per-symbol per-regime breakdown not
# available at BASELINE — runner does not emit regime-tagged per-symbol output (known gap).
# Per-regime Sharpe for /049 rows: regime tagger not wired into runner; all trades in "unknown"
# regime bucket; per-regime fields set to NA for /049.
#
# is_sharpe_annualized for BASELINE rows: QR-specified values representing per-symbol IS daily
# Sharpe under the BASELINE_V1 config. Exact computation methodology: annualized daily Sharpe
# from per-symbol trade-close PnL series (is_sharpe_annualized = sqrt(252)*mean/std of trade
# net_pnl_pct series, matching the /046 partition_solve_v2.py scoring formula).
# Source: QR-authoritative anchor per iter-v1/034 regime_specialist_roster initialization brief.
#
iter_id,symbol,config_id,feature_stack_size,new_feature_or_risk,is_sharpe_annualized,is_n_trades,is_max_dd_pct,is_bull_sharpe,is_bear_sharpe,is_chop_sharpe,is_vol_spike_sharpe,is_recovery_sharpe,is_other_sharpe,oos_sharpe_informational,oos_n_trades_informational,verdict_band,regime_specialist_role,notes
baseline,BTCUSDT,model-A-pool,193,NONE,-0.85,113,87.19,0.09,-0.23,-0.27,2.77,NaN,NaN,3.41,36,TRUE-NEG,ANCHOR,BASELINE_V1 anchor; Model A pooled BTC+ETH; R3 only; 5-seed; per-regime Sharpe is portfolio-level proxy from regime_catalog.md §4 (single-seed=42); per-symbol per-regime breakdown not available
baseline,ETHUSDT,model-A-pool,193,NONE,-0.61,145,68.64,0.09,-0.23,-0.27,2.77,NaN,NaN,0.07,47,TRUE-NEG,ANCHOR,BASELINE_V1 anchor; Model A pooled BTC+ETH; R3 only; 5-seed; per-regime Sharpe is portfolio-level proxy from regime_catalog.md §4 (single-seed=42); ETH OOS 0.07 near-flat
baseline,LINKUSDT,model-C-LINK,193,NONE,2.25,146,91.53,0.09,-0.23,-0.27,2.77,NaN,NaN,2.79,28,REGIME-SPECIALIST-IS,VOL-SPIKE-SPECIALIST,BASELINE_V1 anchor; Model C specialist; R1+R3; 5-seed; IS +2.25 strongest per-symbol; OOS +2.79 informational; per-regime Sharpe portfolio-level proxy; high IS+OOS concentration in vol-spike per regime_catalog.md §4
baseline,LTCUSDT,model-D-LTC,193,NONE,0.17,124,56.64,0.09,-0.23,-0.27,2.77,NaN,NaN,-4.27,35,TRUE-NEG,ANCHOR,BASELINE_V1 anchor; Model D specialist; R1+R3; 5-seed; IS near-flat; OOS -4.27 catastrophic; per-regime Sharpe portfolio-level proxy; LTC worst OOS contributor (-47.25% net)
baseline,DOTUSDT,model-E-DOT,193,NONE,-1.23,93,64.29,0.09,-0.23,-0.27,2.77,NaN,NaN,0.12,47,TRUE-NEG,ANCHOR,BASELINE_V1 anchor; Model E specialist; R1+R2+R3; 5-seed; IS -1.23 weakest after BTC; OOS near-flat; per-regime Sharpe portfolio-level proxy; R2 drawdown brake fires aggressively (71% IS rate)
v1-049,POOLED,model-A-pool+C+D+E,44,long_short_zscore_30 (FEATURE-ADD; REVERTED),-0.17,776,124.08,NA,NA,NA,NA,NA,NA,0.73,265,TRUE-NEG,N/A,EXPLORATION-NEGATIVE-CLEAN cycle-6 EXP-4; IS daily Sharpe -0.1717 (portfolio); MaxDD 124.08% (2x baseline); feature destabilized pooled Model A; LINK+LTC IS positive (specialists); BTC+ETH IS catastrophic; single-seed lottery pattern; feature REVERTED to 44 cols post-closeout; OOS +0.7322 informational only (below anchor); per-regime not available (tagger not wired)
v1-050,DOTUSDT,model-E-DOT-regime-gated,46,dot_vs_btc_ret_ratio_30 (FEATURE-ADD; RETAINED) + vol_spike_regime_gate (RISK-PRIMITIVE; gate fired 0%),-0.1138,125,21.36,NA,NA,NA,NA,NA,NA,-0.1453,47,REGIME-SPECIALIST-IS-CANDIDATE,DOT-SPECIALIST-CANDIDATE,EXPLORATION-PROMISING-PARTIAL cycle-6 EXP-5; DOT-only cohort isolation; IS Δ +1.1162 vs baseline DOT -1.23 (91% of flip-positive threshold; PARTIAL band per brief §8.1); IS MaxDD 21.36% (well-controlled vs baseline DOT 64.29%); cross-asset feature rank 8/45 importance (F1 top-15 PASS); regime gate fired 0% IS+OOS (mechanically inert; conjunction vol>q75 AND conf<0.55 never co-occurred — feature is load-bearing not gate); 125 IS / 47 OOS trades (floor PASS both windows); IS WR 46.4% (+4.5pp vs baseline DOT 41.9%); per-regime tagger not wired (all trades "unknown" bucket Sharpe +0.1174); OOS -0.1453 informational (does not gate verdict per §8.5); Rec 3 conditional FIRES — /051 OR /054 MUST be multi-seed validation at seeds [123,456,789]; feature RETAINED in V1_FEATURE_COLUMNS_PRUNED=46 pending /051 closeout; first cycle-6 EXPLORATION to produce clean partial lift without pooled-head destruction (vs /049 124% MaxDD)
v1-051,DOTUSDT,model-E-DOT-multi-seed,46,dot_vs_btc_ret_ratio_30 (FEATURE-ADD; RETAINED; gate DROPPED at /051 — was inert at /050),-0.2355,119,24.64,NA,NA,NA,NA,NA,NA,0.2711,48,REGIME-SPECIALIST-IS-PARTIAL-CONFIRMED,DOT-SPECIALIST-PARTIAL-CONFIRMED,EXPLORATION-PROMISING-PARTIAL-CONFIRMED cycle-6 EXP-6 (multi-seed re-validation of /050); 3 outer seeds (42 / offset3 / offset6) — disjoint inner-ensemble pools; per-seed IS Sharpe [-0.1138 / -0.5808 / -0.0118]; multi-seed IS mean -0.2355 (std 0.3034); mean IS Δ vs DOT baseline -1.23 = +0.9945 (PARTIAL band [+0.50, +1.23); 81% of SPECIALIST flip-positive threshold; 0.12 pull-toward-mean from /050 single-seed=42 favorable basin); max-min IS spread 0.5690 (BASIN-LOTTERY threshold 1.0 PASS; not a lottery basin); trade-rate floor PASS (mean IS 118.7 / mean OOS 48.3); IS MaxDD mean 24.64% (well-controlled across seeds); per-seed OOS Sharpe [-0.1453 / -0.1201 / +1.0787] mean +0.2711 (informational; std 0.6964 — 2.3× IS dispersion; offset6 +1.0787 is 1.7σ outlier driven by 33 OOS trades at avg +0.94% net; NOT cited as OOS edge per §8.5 EXPLORATION-budget rule); §8.5 seed=42 sanity check PASS (offset0 -0.1138 = /050 -0.1138 bit-exact; implementation correct); feature importance rank stays 7-9 across 3 seeds (genuinely learned); gate dropped (was inert at /050; offset0 IS Sharpe = /050 IS Sharpe → mechanism is feature not gate); verdict: KEEP feature in 46-col stack; DOT specialist row promoted CANDIDATE → PARTIAL-CONFIRMED; bundle composition at /055 CONFIRMATION may include DOT-SPECIALIST-PARTIAL-CONFIRMED entry but ingredient is sub-flip-positive (mean -0.24 IS) — bundle needs absolute-positive DOT contributor; /052 = BTC specialist (funding-rate impulse + 30d/90d spread; not DOT stacking per feedback_v3_engineered_features_dont_stack.md)
v1-052,BTCUSDT,model-A-BTC-specialist,48,btc_funding_rate_8h_impulse + btc_funding_spread_30_90 (FEATURE-ADD; both RETAINED; both-or-neither revert rule from LM Master Rec 1 — pending /053 multi-seed),0.1609,133,23.37,NA,NA,NA,NA,NA,NA,-1.3833,70,REGIME-SPECIALIST-IS-CANDIDATE,BTC-SPECIALIST-CANDIDATE,EXPLORATION-PROMISING-SPECIALIST-CANDIDATE cycle-6 EXP-7 (BTC-only cohort isolation; first cycle-6 FLIP-POSITIVE specialist); BTC IS Sharpe Δ vs baseline -0.85 = +1.0109 (FLIP-POSITIVE band [≥ +0.85] per brief §4 F-AXIS #1); single-seed=42 EXPLORATION; IS MaxDD 23.37% (well-controlled); 133 IS / 70 OOS trades (floor PASS both windows; well above 50/10 thresholds); IS WR 39.8% (+6.2pp vs baseline pool-implied BTC WR 33.6%); IS net PnL +5.83% per-symbol (vs baseline -37.28%); feature attribution DIVERGES — btc_funding_spread_30_90 rank 4/48 (STRONGLY learned; 3× gain of existing funding parents at rank 17 + 26); btc_funding_rate_8h_impulse rank 38/48 (INERT-by-importance; F-AXIS #4 FLAG triggered but does NOT override both-or-neither retain rule per brief §3.1); OOS Sharpe -1.3833 informational only (single-seed dispersion outlier at EXPLORATION budget; brief §4 90% CI on OOS [+0.10, +0.70] missed by -2.08 — flagged for /053 multi-seed OOS measurement); per-regime tagger not wired (all trades "unknown" bucket Sharpe +0.0088); LM Master Rec 3 conditional FIRES — /053 MUST be multi-seed re-validation at seeds [42/offset3/offset6] disjoint inner pools (mirror /050 → /051 pattern); feature RETAINED in V1_FEATURE_COLUMNS_PRUNED=48 pending /053 closeout; first cycle-6 FLIP-POSITIVE specialist; mechanism: term-structure slope (z30 - z90 algebraic composition) is Category-2 PROMISING-FEATURE-MECHANICAL precedent (Trees use spread for split-budget efficiency vs two splits on parents); shock-detector impulse fails INERT at 8h cadence (event rate too low; consistent with feedback_v3_cross_asset_ohlcv_closed.md pattern at NEW non-OHLCV primitive class); roster status: 1 PARTIAL-CONFIRMED (DOT) + 1 SPECIALIST-CANDIDATE (BTC pending /053) — /055 bundle composition begins assembling after /054 closeout
v1-053,BTCUSDT,model-A-BTC-specialist,48,btc_funding_rate_8h_impulse + btc_funding_spread_30_90 (FEATURE-ADD; both RETAINED; both-or-neither revert rule survived PARTIAL verdict at multi-seed),-0.0398,136.7,28.45,NA,NA,NA,NA,NA,NA,-0.5981,57.7,REGIME-SPECIALIST-IS-PARTIAL-CONFIRMED,BTC-SPECIALIST-PARTIAL-CONFIRMED,"EXPLORATION-PARTIAL-CONFIRMED cycle-6 EXP-8 (multi-seed re-validation of /052 PROMISING-SPECIALIST-CANDIDATE); 3 outer seeds (42 / offset3 / offset6) — disjoint inner-ensemble pools; per-seed IS Sharpe [+0.1609 / -0.1467 / -0.1336]; multi-seed IS mean -0.0398 (std 0.142); max-min IS spread 0.3076 (BASIN-LOTTERY tightened 0.5 threshold PASS with 38% safety margin; not a lottery basin); mean IS Δ vs BTC baseline -0.85 = +0.8102 (PARTIAL band [+0.30, +0.85); 95% of SPECIALIST flip-positive threshold; 0.20 pull-toward-mean from /052 single-seed=42 favorable basin draw; 0.04 short of flip-positive); trade-rate floor PASS (mean IS 136.7 / mean OOS 57.7; well above 50/10 thresholds); IS MaxDD mean 28.45% (well-controlled across seeds; max 36.87% at offset3); per-seed OOS Sharpe [-1.3833 / +0.3396 / -0.7506] mean -0.5981 (informational; std 0.866; range 1.72 = 12× IS dispersion — canonical EXPLORATION-budget BTC-amplified OOS-variance signature; NOT cited as edge per §8.5 EXPLORATION-budget rule); §8.5 seed=42 sanity check PASS (offset0 +0.1609 = /052 +0.1609 bit-exact; implementation correct; _OUTER_SEED_OFFSETS=(0,3,6) framework from /051 transfers cleanly); btc_funding_spread_30_90 importance rank stays at 4-10 across all 3 seeds (Category-2 algebraic-sister mechanism multi-seed stable; rank-4 NOT seed-42-specific); btc_funding_rate_8h_impulse rank > 30 in 3/3 seeds (INERT-by-importance multi-seed confirmed; impulse never productively learned at 8h cadence); both features RETAINED in V1_FEATURE_COLUMNS_PRUNED=48 (both-or-neither rule survives PARTIAL verdict); verdict: KEEP features in 48-col stack; BTC specialist roster row promoted CANDIDATE → PARTIAL-CONFIRMED; bundle composition at /055 CONFIRMATION may include BTC-SPECIALIST-PARTIAL-CONFIRMED entry but ingredient is sub-flip-positive (mean -0.04 IS) — bundle needs absolute-positive BTC contributor OR demonstration that CONFIRMATION-budget regression compression lifts mean above flip-positive threshold; /054 = impulse-drop test (spread-only at 47 cols) to isolate whether spread carries full IS lift solo; roster after /053: 2 PARTIAL-CONFIRMED (DOT @ /051 Δ +0.99 + BTC @ /053 Δ +0.81); /055 CONFIRMATION-bundle composition begins assembling after cycle-6 EXP 10/10 closes"
